institute,count,faculty
Carnegie Mellon University,58.6,82
Tsinghua University,50.1,87
Peking University,38.3,92
Cornell University,35.5,44
Stanford University,33.2,43
Chinese Academy of Sciences,32.6,43
Univ. of Illinois at Urbana-Champaign,25.8,45
Technion,24.3,47
Nanyang Technological University,24,39
Massachusetts Institute of Technology,22.9,61
National University of Singapore,22.6,33
University of Washington,22.1,37
HKUST,20.1,27
University of Maryland - College Park,20.1,32
University of California - Los Angeles,19.6,20
University of Michigan,18.9,39
Rutgers University,18.8,28
Nanjing University,18.5,48
University of Massachusetts Amherst,18.4,31
University of Toronto,17.8,45
Zhejiang University,17.4,52
Columbia University,17.2,29
Fudan University,17,48
Georgia Institute of Technology,17,41
University of Pennsylvania,16.7,30
University of California - Berkeley,16.3,47
University of California - San Diego,15.5,30
University of Texas at Austin,15.5,23
Northeastern University,14.8,39
Max Planck Society,14.4,13
University of Edinburgh,14.2,33
University of Tokyo,13.7,25
University of Illinois at Chicago,13.6,24
Shanghai Jiao Tong University,13.3,39
University of Alberta,13.2,29
University of Waterloo,12.3,30
New York University,12.2,34
University of Pittsburgh,12.2,17
EPFL,12.1,30
KAIST,12,34
University of Southern California,12,22
Johns Hopkins University,11.6,13
Hebrew University of Jerusalem,11.4,27
ETH Zurich,11.3,25
University of Oxford,10.9,28
Chinese University of Hong Kong,10.7,21
Duke University,10.5,18
Simon Fraser University,10.2,24
University of British Columbia,9.9,23
Harvard University,9.7,18
Oregon State University,9.7,14
Purdue University,9.7,31
Seoul National University,9.5,24
University of California - Irvine,9.4,16
TU Darmstadt,9.3,9
University of California - Santa Barbara,9.3,23
Pennsylvania State University,9.2,19
Singapore Management University,9,20
University of Technology Sydney,8.9,19
Stony Brook University,8.8,26
University of Melbourne,8.8,25
Beihang University,8.7,30
Harbin Institute of Technology,8.7,20
University of Montreal,8.5,14
University of Sydney,8.5,14
Boston University,8.4,19
University College London,8.3,24
University of Virginia,8.3,22
University of Central Florida,8.1,17
University of Texas at Dallas,8.1,23
Kyoto University,8,18
Texas A&M University,8,20
University of Wisconsin - Madison,7.9,27
Ohio State University,7.8,17
University of Rochester,7.8,11
University of North Carolina,7.7,13
USTC,7.6,16
Australian National University,7.4,25
Arizona State University,7.3,13
Princeton University,7.3,25
Tel Aviv University,7.2,21
Imperial College London,7.1,22
National Taiwan University,7.1,14
University at Buffalo,7,22
NWPU,6.9,17
University of California - Santa Cruz,6.8,19
University of Cambridge,6.8,15
Northwestern University,6.7,22
University of Adelaide,6.7,15
University of Colorado Boulder,6.7,24
Ben-Gurion University of the Negev,6.6,15
Bar-Ilan University,6.5,13
Brown University,6.4,12
UESTC,6.4,22
University of Minnesota,6.4,19
University of Copenhagen,6.2,19
Renmin University of China,6.1,24
TTI Chicago,6.1,10
Virginia Tech,6,19
University of Utah,5.9,12
Carnegie Mellon University,58.6,82
Cornell University,35.5,44
Stanford University,33.2,43
Univ. of Illinois at Urbana-Champaign,25.8,45
Massachusetts Institute of Technology,22.9,61
University of Washington,22.1,37
University of Maryland - College Park,20.1,32
University of California - Los Angeles,19.6,20
University of Michigan,18.9,39
Rutgers University,18.8,28
University of Massachusetts Amherst,18.4,31
Columbia University,17.2,29
Georgia Institute of Technology,17,41
University of Pennsylvania,16.7,30
University of California - Berkeley,16.3,47
University of California - San Diego,15.5,30
University of Texas at Austin,15.5,23
Northeastern University,14.8,39
University of Illinois at Chicago,13.6,24
New York University,12.2,34
University of Pittsburgh,12.2,17
University of Southern California,12,22
Johns Hopkins University,11.6,13
Duke University,10.5,18
Harvard University,9.7,18
Oregon State University,9.7,14
Purdue University,9.7,31
University of California - Irvine,9.4,16
University of California - Santa Barbara,9.3,23
Pennsylvania State University,9.2,19
Stony Brook University,8.8,26
Boston University,8.4,19
University of Virginia,8.3,22
University of Central Florida,8.1,17
University of Texas at Dallas,8.1,23
Texas A&M University,8,20
University of Wisconsin - Madison,7.9,27
Ohio State University,7.8,17
University of Rochester,7.8,11
University of North Carolina,7.7,13
Arizona State University,7.3,13
Princeton University,7.3,25
University at Buffalo,7,22
University of California - Santa Cruz,6.8,19
Northwestern University,6.7,22
University of Colorado Boulder,6.7,24
Brown University,6.4,12
University of Minnesota,6.4,19
TTI Chicago,6.1,10
Virginia Tech,6,19
